0;Eastern Kingdoms
1;Kalimdor
13;Testing
25;Scott Test
30;Alterac Valley
33;Shadowfang Keep
34;Stormwind Stockade
35;<unused>StormwindPrison
36;Deadmines
37;Azshara Crater
42;Collin's Test
43;Wailing Caverns
44;<unused> Monastery
47;Razorfen Kraul
48;Blackfathom Deeps
70;Uldaman
90;Gnomeregan
109;Sunken Temple
129;Razorfen Downs
169;Emerald Dream
189;Scarlet Monastery
209;Zul'Farrak
229;Blackrock Spire
230;Blackrock Depths
249;Onyxia's Lair
269;Opening of the Dark Portal
289;Scholomance
309;Zul'Gurub
329;Stratholme
349;Maraudon
369;Deeprun Tram
389;Ragefire Chasm
409;Molten Core
429;Dire Maul
449;Alliance PVP Barracks
450;Horde PVP Barracks
451;Development Land
469;Blackwing Lair
489;Warsong Gulch
509;Ruins of Ahn'Qiraj
529;Arathi Basin
530;Outland
531;Ahn'Qiraj Temple
532;Karazhan
533;Naxxramas
534;The Battle for Mount Hyjal
540;Hellfire Citadel: The Shattered Halls
542;Hellfire Citadel: The Blood Furnace
543;Hellfire Citadel: Ramparts
544;Magtheridon's Lair
545;Coilfang: The Steamvault
546;Coilfang: The Underbog
547;Coilfang: The Slave Pens
548;Coilfang: Serpentshrine Cavern
550;Tempest Keep
552;Tempest Keep: The Arcatraz
553;Tempest Keep: The Botanica
554;Tempest Keep: The Mechanar
555;Auchindoun: Shadow Labyrinth
556;Auchindoun: Sethekk Halls
557;Auchindoun: Mana-Tombs
558;Auchindoun: Auchenai Crypts
559;Nagrand Arena
560;The Escape From Durnholde
562;Blade's Edge Arena
564;Black Temple
565;Gruul's Lair
566;Eye of the Storm
568;Zul'Aman
571;Northrend
572;Ruins of Lordaeron
573;ExteriorTest
574;Utgarde Keep
575;Utgarde Pinnacle
576;The Nexus
578;The Oculus
580;The Sunwell
582;Transport: Rut'theran to Auberdine
584;Transport: Menethil to Theramore
585;Magister's Terrace
586;Transport: Exodar to Auberdine
587;Transport: Feathermoon Ferry
588;Transport: Menethil to Auberdine
589;Transport: Orgrimmar to Grom'Gol
590;Transport: Grom'Gol to Undercity
591;Transport: Undercity to Orgrimmar
592;Transport: Borean Tundra Test
593;Transport: Booty Bay to Ratchet
594;Transport: Howling Fjord Sister Mercy (Quest)
595;The Culling of Stratholme
596;Transport: Naglfar
597;Craig Test
598;Sunwell Fix (Unused)
599;Halls of Stone
600;Drak'Tharon Keep
601;Azjol-Nerub
602;Halls of Lightning
603;Ulduar
604;Gundrak
605;Development Land (non-weighted textures)
606;QA and DVD
607;Strand of the Ancients
608;Violet Hold
609;Ebon Hold
610;Transport: Tirisfal to Vengeance Landing
612;Transport: Menethil to Valgarde
613;Transport: Orgrimmar to Warsong Hold
614;Transport: Stormwind to Valiance Keep
615;The Obsidian Sanctum
616;The Eye of Eternity
617;Dalaran Sewers
618;The Ring of Valor
619;Ahn'kahet: The Old Kingdom
620;Transport: Moa'ki to Unu'pe
621;Transport: Moa'ki to Kamagua
622;Transport: Orgrim's Hammer
623;Transport: The Skybreaker
624;Vault of Archavon
628;Isle of Conquest
631;Icecrown Citadel
632;The Forge of Souls
641;Transport: Alliance Airship BG
642;Transport: HordeAirshipBG
647;Transport: Orgrimmar to Thunder Bluff
649;Trial of the Crusader
650;Trial of the Champion
658;Pit of Saron
668;Halls of Reflection
672;Transport: The Skybreaker (Icecrown Citadel Raid)
673;Transport: Orgrim's Hammer (Icecrown Citadel Raid)
712;Transport: The Skybreaker (IC Dungeon)
713;Transport: Orgrim's Hammer (IC Dungeon)
718;Trasnport: The Mighty Wind (Icecrown Citadel Raid)
723;Stormwind
724;The Ruby Sanctum